"","logFC","logCPM","PValue","FDR"
"Potri.011G168300",-0.431606309476485,5.43893677801328,0.162115482837659,0.24921029536514
"Potri.007G008000",0.417022556551007,5.44372141330315,0.162115482837659,0.24921029536514
"Potri.014G075100",0.425013552250072,5.76017025071082,0.162556874313721,0.249839199203376
"Potri.003G218600",0.450851976580129,6.36799776209385,0.162661930985564,0.249951031532314
"Potri.005G091400",0.472871699827983,6.24490645049921,0.162707323570587,0.249971156100902
"Potri.015G054300",-0.476646926632271,6.22369680376338,0.162808029852597,0.25007623557434
"Potri.006G047000",-0.500864996072588,7.03430178866833,0.162978449204121,0.250288332706329
"Potri.015G117600",-0.427312498749081,6.57261631370844,0.163199955974771,0.250475638370839
"Potri.002G168100",-0.499349052007907,5.26824419407089,0.163234922669365,0.250475638370839
"Potri.006G225100",-0.455456205064282,5.26972476066064,0.163234922669365,0.250475638370839
"Potri.019G018100",-0.616948192690391,7.1833676274361,0.163255635091577,0.250475638370839
"Potri.008G066800",0.403782143809975,5.62602217111843,0.16327244733884,0.250475638370839
"Potri.016G138700",-0.409562678053151,6.18368331585159,0.163294582844865,0.250475638370839
"Potri.002G085300",0.501756332974782,5.65437320078788,0.163524263178257,0.250778243907214
"Potri.011G109500",-0.456102734804517,7.7938207639183,0.163863171099755,0.251248206084015
"Potri.018G031900",-0.531186148493944,6.73880659936123,0.164136504699041,0.251617458183913
"Potri.009G125000",-0.455871470451297,8.22827122664403,0.164234237978319,0.251717426129146
"Potri.009G026200",0.419498707400798,6.00229483930855,0.164382793990079,0.251895233712771
"Potri.016G126200",-0.42379122310657,5.94736693901045,0.164448867532264,0.251946602276271
"Potri.001G215800",0.426619593171881,6.39689751414181,0.164938024778491,0.252646014602319
"Potri.009G046700",-0.529367922214841,7.24251125545112,0.165127125949075,0.252873092675889
"Potri.003G085800",0.455306246538619,5.8424560431372,0.165151612852277,0.252873092675889
"Potri.002G252600",-0.442588880823218,6.96189837678055,0.16523316761345,0.252947926686729
"Potri.012G002600",0.442226811889936,6.39685830705857,0.165467627060114,0.253256759629282
"Potri.009G030800",-0.78052346539628,11.4203531300934,0.16557731963077,0.253374546054203
"Potri.001G206600",-0.426569675893212,6.064112038653,0.165657497938557,0.253447130667016
"Potri.002G036800",-0.423359384202665,6.18356397172136,0.165796468177746,0.253590091610304
"Potri.003G026800",-0.413752052056165,6.17957841503473,0.165816466878521,0.253590091610304
"Potri.008G151600",-0.656379744207579,7.7259583924674,0.16590964682934,0.253682470655688
"Potri.010G161200",0.633021052159914,8.84719300273041,0.166035650208835,0.253824991628755
"Potri.009G062200",0.498084096956965,7.94576285564328,0.166159031954639,0.253963449314555
"Potri.008G043800",-0.437621043025932,6.38642924283667,0.166193684099414,0.253966261585284
"Potri.017G072300",-0.434997174085799,5.47125714831931,0.166416357861597,0.254163687011649
"Potri.006G224600",0.434952626519615,5.47719939774767,0.166416357861597,0.254163687011649
"Potri.001G216900",0.47840287010926,6.48228852112969,0.166421390927007,0.254163687011649
"Potri.003G005500",0.43465234427273,6.66163006810871,0.166742834458284,0.254604367470333
"Potri.001G056100",-0.444235811582615,5.62570542635732,0.167024835945805,0.254934842607861
"Potri.001G115900",-0.406512807916923,5.65249342910522,0.167025140421766,0.254934842607861
"Potri.004G188200",0.444192540047508,5.4654370849258,0.16712042163218,0.255020446524719
"Potri.005G205800",-0.429790929570539,5.97424907541627,0.167147122121434,0.255020446524719
"Potri.005G094300",0.484962206347385,6.04356479049896,0.167303720587291,0.255209065302647
"Potri.015G013700",-0.42814671196877,6.3455896722085,0.167565610836368,0.255558192684431
"Potri.010G227000",-0.480591096733389,5.09280354837865,0.167771039356754,0.255821088380866
"Potri.013G078700",-0.427428316231295,6.5971374139854,0.168096941329094,0.25615456738165
"Potri.002G033900",-0.424547246584145,5.78272602384352,0.168163280998674,0.25615456738165
"Potri.005G229000",-0.484411175114645,5.29613275004013,0.168188308970742,0.25615456738165
"Potri.013G000300",-0.47221127549902,5.29774994231106,0.168188308970742,0.25615456738165
"Potri.004G229200",0.450320006521874,5.30862310812117,0.168188308970742,0.25615456738165
"Potri.005G205300",-0.434715647428694,5.29877926048566,0.168188308970742,0.25615456738165
"Potri.004G224400",0.404855079347659,5.73320752414345,0.168241609590685,0.256185335083986
"Potri.012G081000",0.439855688992729,6.33146345146795,0.168628514059656,0.256723976951562
"Potri.018G033300",-0.406180095895872,5.77899128794112,0.168669930589831,0.256736531517265
"Potri.015G090200",0.430403987746347,5.90831469936623,0.168755049081825,0.256815587867347
"Potri.019G071400",0.431751927735177,6.42214764199156,0.168991402280575,0.257124720592029
"Potri.019G082500",-0.395053026127667,5.64100701987568,0.169158141024793,0.257327832455168
"Potri.010G206600",-0.494696654498994,5.96192456363072,0.169345954323372,0.25753608473723
